4;10;1;1;159;17;3;16;16;N6324.3910;E01028.6333
4;10;1;2;122;13;6;32;32;N6324.3910;E01028.6333
4;10;1;3;122;13;5;61;64;N6324.3910;E01028.6333
4;10;1;4;141;15;4;122;128;N6324.3910;E01028.6333
4;10;1;5;150;16;4;251;256;N6324.3910;E01028.6334
4;10;1;6;141;15;7;509;512;N6324.3913;E01028.6335
4;10;1;7;141;15;6;1018;1024;N6324.3911;E01028.6335
4;10;2;1;122;13;8;13;16;N6324.3911;E01028.6337
4;10;2;2;131;14;6;29;32;N6324.3911;E01028.6337
4;10;2;3;141;15;5;64;64;N6324.3910;E01028.6338
4;10;2;4;131;14;6;128;128;N6324.3910;E01028.6338
4;10;2;5;131;14;7;256;256;N6324.3911;E01028.6339
4;10;2;6;141;15;5;512;512;N6324.3912;E01028.6339
4;10;2;7;141;15;6;1019;1024;N6324.3913;E01028.6335
4;10;3;1;141;15;4;13;16;N6324.3912;E01028.6335
4;10;3;2;103;11;3;29;32;N6324.3912;E01028.6335
4;10;3;3;131;14;6;61;64;N6324.3911;E01028.6335
4;10;3;4;122;13;5;128;128;N6324.3911;E01028.6334
4;10;3;5;131;14;5;252;256;N6324.3911;E01028.6333
