1;11;1;1;112;12;4;13;16;N6324.4147;E01028.6484
1;11;1;2;112;12;4;29;32;N6324.4144;E01028.6483
1;11;1;3;112;12;4;61;64;N6324.4144;E01028.6483
1;11;1;4;112;12;4;125;128;N6324.4143;E01028.6485
1;11;1;5;103;11;7;256;256;N6324.4143;E01028.6486
1;11;1;6;112;12;5;512;512;N6324.4144;E01028.6482
1;11;1;7;112;12;4;1021;1024;N6324.4148;E01028.6476
1;11;2;1;112;12;4;16;16;N6324.4150;E01028.6472
1;11;2;2;112;12;4;32;32;N6324.4151;E01028.6469
1;11;2;3;112;12;5;61;64;N6324.4152;E01028.6466
1;11;2;4;112;12;7;128;128;N6324.4153;E01028.6463
1;11;2;5;103;11;6;256;256;N6324.4154;E01028.6462
1;11;2;6;103;11;6;511;512;N6324.4155;E01028.6466
1;11;2;7;103;11;5;1018;1024;N6324.4159;E01028.6475
1;11;3;1;103;11;4;16;16;N6324.4159;E01028.6475
1;11;3;2;94;10;5;32;32;N6324.4159;E01028.6478
1;11;3;3;94;10;7;61;64;N6324.4160;E01028.6483
1;11;3;4;94;10;6;128;128;N6324.4161;E01028.6484
1;11;3;5;94;10;6;256;256;N6324.4160;E01028.6487
1;11;3;6;84;9;7;509;512;N6324.4157;E01028.6472
1;11;3;7;94;10;6;1024;1024;N6324.4151;E01028.6467
1;11;4;1;94;10;7;16;16;N6324.4144;E01028.6469
1;11;4;2;103;11;4;32;32;N6324.4144;E01028.6469
1;11;4;3;0;0;0;0;64;N6324.4140;E01028.6467
